dataset_id,title,organization,sector,tags,formats,num_resources,metadata_created,metadata_modified,description,source_url
56772d9a-1ab1-42cd-864b-a4a20d9cc101,Public Transport Accessibility: Prayagraj,Ministry of Housing and Urban Affairs,Road Transport,Bus|cost|earnings|Revenue|stands|Stops|Terminals,,,2019-05-07,2025-02-18,This catalog helps understand the public transportation system of a city\,https://www.data.gov.in/catalog/public-transport-accessibility-prayagraj
0a0bbbca-9414-4f32-9636-d6ab808a911d,Public Transport Mode Share: Prayagraj,Ministry of Housing and Urban Affairs,Modes of Travel,Auto|Bus|cycle|metro|Mode|Registration|Rickshaw|share|Train|Trip|vehicle|walking,,,2019-05-07,2025-02-17,This catalog helps understand the transportation insights of a city,https://www.data.gov.in/catalog/public-transport-mode-share-prayagraj
004bddcb-56f7-4d3d-bcee-63ac04804b0d,Road Safety: Prayagraj,Ministry of Housing and Urban Affairs,Others,Bus|Car|cycle|Fatalities|Fatality|Injuries|Road|walk,,,2019-05-07,2025-02-17,This indicator will help determine the number of injuries per lakh Population and number of Fatalities per lakh Population\,https://www.data.gov.in/catalog/road-safety-prayagraj
04a20882-2272-41cb-9828-e69a99c0b0ac,Digital Availability: Prayagraj,Ministry of Housing and Urban Affairs,Others,Access|Citizen|Digital|payment,,,2019-05-07,2025-02-12,This indicator helps determine the % of citizen services available online\,https://www.data.gov.in/catalog/digital-availability-prayagraj-0
a541291d-d916-4b6c-bcc9-984342db7e2c,Crimes: Prayagraj,Ministry of Housing and Urban Affairs,Others,Crimes|Record,,,2019-05-07,2025-02-17,This indicator helps understand the prevalent crime rate in a city,https://www.data.gov.in/catalog/crimes-prayagraj
1838e171-1532-4c90-80ee-a245e45c974f,VAT & GST: Prayagraj,Ministry of Housing and Urban Affairs,Finance,Collection|GST|Sales|Tax|VAT,,,2019-05-07,2025-02-17,This indicator helps in determining economic productivity and competitiveness of a city\,https://www.data.gov.in/catalog/vat-gst-prayagraj-1
8f2225ad-8aca-45c7-bfe1-d4db7d7d4b0f,Financial Health: Prayagraj,Ministry of Housing and Urban Affairs,Finance,expenditure|Income|Loss|Profit|Revenue,,,2019-05-07,2025-02-17,This indicator helps in determining Financial health of the city,https://www.data.gov.in/catalog/financial-health-prayagraj
05afa0b5-d0f4-40bb-9c59-b50a5bdc9011,Water and Sanitation: Prayagraj,Ministry of Housing and Urban Affairs,Sanitation,Households|sanitation|sewerage|toilet|water,,,2019-05-07,2025-02-12,This catalog descrives the sewerage network and details the spread of public toilets available within an area in the city\,https://www.data.gov.in/catalog/water-and-sanitation-prayagraj
0123e1af-4650-4f4f-a8c5-670a5ebf2255,City Profile: Prayagraj,Ministry of Housing and Urban Affairs,Census and Surveys,area|Households|Labour|Population|smart city|Workforce,,,2019-05-02,2025-02-14,"The catalog contains data regarding basic indicators like area, population, workforce participation and households present in the city. These indicators define the basic profile of the city.\",https://www.data.gov.in/catalog/city-profile-prayagraj-1
d88e0bda-9746-4634-8c6b-a3f0fa50b713,Unemployment Rate: Prayagrag,Ministry of Housing and Urban Affairs,Employment,area|Households|Labour|Population|smart city|Workforce,,,2019-05-02,2025-02-14,"The catalog contains data regarding basic indicators like area, population, workforce participation and households present in the city. These indicators define the basic profile of the city.\",https://www.data.gov.in/catalog/unemployment-rate-prayagrag
45b81959-7a97-4e50-89fa-78223c07f7d2,Households: Prayagraj,Ministry of Housing and Urban Affairs,Census and Surveys,area|Households|Labour|Population|smart city|Workforce,,,2019-05-02,2025-02-14,"The catalog contains data regarding basic indicators like area, population, workforce participation and households present in the city. These indicators define the basic profile of the city.\",https://www.data.gov.in/catalog/households-prayagraj
eed6e890-a29b-4312-91cb-0e8d6a1ad85a,Water Tax: Prayagraj,Ministry of Housing and Urban Affairs,Drinking Water,Collection|Deficit|Tax|WATER TAX,,,2019-05-02,2025-02-17,Indicates the water tax collection for the city,https://www.data.gov.in/catalog/water-tax-prayagraj-0
